Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
20210307,AK,59332,18300,1499,,2447,12238,1508,4453,7130,11757,3197,29625,26510,305,127,9,,29,111,17,4,1,7,13,280,12,1293,423,45,,116,336,126,67,54,126,66,939,288,,,,,,,,,,,,,
20210307,AL,499819,160347,82790,,2273,,,,38000,216409,12312,167064,320443,10148,4730,2223,,24,,,,300,2871,137,6083,3928,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,AR,324818,207596,50842,,2913,1070,3358,1804,16491,40744,34332,290486,0,5319,4171,784,,36,18,56,13,203,38,186,5133,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,AZ,826454,308453,25775,244539,11921,40707,,,46964,148095,244539,433820,148095,16328,8066,433,4684,220,1361,,,465,1099,4684,10545,1099,57907,26710,2479,18730,1015,4496,,,2562,1915,18730,37262,1915,,,,,,,,,,,,,
20210307,CA,3501394,546630,111279,1509103,186562,9025,15281,42824,304477,776213,1509103,1216078,776213,54124,16586,3275,24402,6105,184,322,693,1103,1454,24402,28268,1454,,,,,,,,,,,,,,49646014,9172498,1730660,9444459,3980518,98894,222513,74171,6354689,18567612,9444459,21633943,18567612
20210307,CO,435762,181669,12637,119224,6406,2527,1264,6580,3312,102143,119224,214395,102143,5986,3869,191,1204,115,37,9,186,38,337,1204,4445,337,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,CT,285330,85469,19651,41523,3019,393,,17642,15284,102349,41523,141458,102349,7704,5413,906,782,83,3,,353,38,126,782,6796,126,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,DC,41419,10708,20164,,914,86,82,,9148,317,8455,30131,2833,1030,105,773,119,14,,,,0,19,119,892,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,DE,88354,42730,19768,14532,1842,,,,5190,4292,14532,69530,4292,1473,1036,329,80,11,,,,15,2,80,1391,2,,,,,,,,,,,,,,633424,311489,118013,55204,16091,,,,58282,74345,55204,503875,74345
20210307,FL,1944995,664121,237772,608165,,,,,141809,293128,608165,917573,419257,32266,17316,4812,7325,,,,,1427,1386,7325,22180,2761,82237,38131,16138,20583,,,,,4284,3101,20583,56406,5248,,,,,,,,,,,,,
20210307,GA,1023487,319208,216068,85460,17888,504,746,,36133,347480,85460,501639,436388,17906,8939,5282,852,298,10,10,,78,2437,852,14534,2520,56797,24335,22046,6155,1029,20,69,,1076,2067,6155,46118,4524,,,,,,,,,,,,,
20210307,GU,7749,418,,,2276,,3993,,435,627,,,7748,133,3,,,33,,79,,4,14,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,HI,27891,3646,580,,6068,,8008,,1035,8554,,,27891,445,40,4,,244,,137,,6,14,,,445,2226,151,15,,521,,660,,38,841,,,841,,,,,,,,,,,,,
20210307,IA,339671,200406,10190,,3397,888,824,,2379,121587,20380,190216,129075,5558,5154,134,,61,19,16,,47,127,138,5420,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,ID,172931,99914,1008,,1219,2054,409,,13191,55136,17344,73958,81629,1879,1761,9,,17,35,,,41,16,186,1682,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,IL,1198335,470333,110701,219967,27074,1492,1125,,41054,326589,219967,651779,326589,23014,12202,3668,3291,737,26,20,,120,2950,3291,16773,2950,,,,,,,,,,,,,,18640190,6066122,1362411,1263482,720684,15305,18976,,534214,8658996,1263482,8717712,8658996
20210307,IN,667262,452265,44471,,8987,,,,72744,88795,38378,350560,278324,12737,9096,939,,70,,,,1591,1041,275,6823,5639,,,,,,,,,,,,,,3150418,2172766,239719,,59652,,,,381330,296951,121315,1536679,1492424
20210307,KS,295861,209752,14330,,5525,2074,,,12197,51983,39177,182461,74223,4812,3721,235,,64,38,,,245,509,310,3795,707,9387,7118,752,,173,67,,,623,654,1350,7167,870,1270547,806291,61246,,24634,8140,,,45244,324992,95804,699286,475457
20210307,KY,410709,286431,26883,,3680,833,374,16253,,76255,17452,300330,92927,4819,3981,371,,23,4,2,118,,320,73,4219,527,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,LA,433785,218332,136460,,16684,1527,492,,34552,25738,,,433785,9748,5798,3723,,75,15,13,,39,85,238,8966,544,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,MA,591356,219467,35342,125873,16039,504,156,,47605,146370,125873,319113,146370,16417,12022,1069,1289,414,11,5,,1373,234,1289,14894,234,19713,10414,1900,3041,709,10,7,,1957,1675,3041,14997,1675,,,,,,,,,,,,,
20210307,MD,387319,134697,112033,62261,8867,,,,18321,51140,62261,273918,51140,7955,4078,2736,727,277,,,,80,57,727,7171,57,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,ME,45794,36271,2252,,502,139,26,178,907,5519,695,31103,13996,706,602,10,,3,5,0,1,6,79,6,491,209,1570,1359,63,,22,7,0,3,30,86,22,1354,194,,,,,,,,,,,,,
20210307,MI,656072,378135,74321,,10362,3596,,25954,35465,128239,33855,421946,200271,16658,11205,3634,,179,79,,270,425,866,480,13206,2972,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,MN,490011,327714,39044,43792,21470,4634,556,8424,6470,37907,43792,408312,37907,6550,5440,319,203,259,90,6,101,23,109,203,6238,109,25978,16798,3007,2202,1470,457,31,665,237,1111,2202,22665,1111,,,,,,,,,,,,,
20210307,MO,480643,252254,42276,,4317,942,22,108,63952,116772,17167,259531,203945,8161,5162,1069,,67,12,1,0,1295,555,170,6395,1596,,,,,,,,,,,,,,4565866,1781880,355094,,44514,6838,40,192,1602892,774416,81100,2166194,2318572
20210307,MS,297581,140893,97848,6525,1415,2215,,,10036,38649,6525,202316,88740,6808,3670,2671,60,18,114,,,103,172,60,5599,1149,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,MT,100914,63627,460,,342,8156,114,,6782,21433,2323,62230,36361,1381,856,1,,1,205,1,,121,196,25,905,451,4630,2233,23,,,453,,,,1921,,,,,,,,,,,,,,,,
20210307,NC,872176,442322,146993,,13620,11199,,,98470,159572,118914,441831,311431,11502,7160,2662,,120,126,,,716,718,803,8916,1783,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,ND,100391,55720,2881,,1317,4376,,1377,28,34692,,,100391,1478,,,,,,,,,1478,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,NE,201608,104512,5117,,2809,1257,224,,3861,83828,23560,82131,95917,2091,1360,58,,30,26,1,,26,590,161,1095,835,6147,4318,304,,133,93,12,,174,1113,1064,3538,1545,,,,,,,,,,,,,
20210307,NH,76861,39457,1025,4157,1036,87,0,394,2066,28639,4157,44065,28639,1184,1110,13,30,12,1,0,2,12,4,30,1150,4,1131,865,38,99,40,,,,25,64,99,968,64,,,,,,,,,,,,,
20210307,NJ,812609,268537,69860,161066,30370,,,,107239,175537,161066,476006,175537,23574,12932,3743,4338,1178,,,,912,471,4338,18765,471,64396,26086,11312,15832,2843,,,,4241,4082,15832,44482,4082,,,,,,,,,,,,,
20210307,NM,186922,32321,2360,87747,1688,30459,288,,4912,27147,87747,72028,27147,3808,1097,49,1471,27,1064,,,,100,1471,2237,100,13252,2460,141,4885,118,3966,24,,177,1481,4885,6886,1481,,,,,,,,,,,,,
20210307,NV,296190,108109,22510,106628,24287,1480,,,33173,3,106628,189559,3,5037,2719,468,1203,594,45,,,5,3,1203,3831,3,,,,,,,,,,,,,,1427948,675419,137083,249890,99956,11423,,,254174,3,249890,1178055,3
20210307,NY,1681169,,,,,,,,,1681169,,,1681169,48591,17007,9812,9968,3011,,,,2834,5959,9968,32664,5959,89995,21649,23650,28494,8213,,,,,7989,28494,53512,7989,,,,,,,,,,,,,
20210307,OH,978471,579544,101785,,13511,1055,693,23359,53199,205325,30674,618476,329321,17656,15026,2157,,139,16,3,26,129,160,302,17199,155,50881,35458,9272,,631,65,55,1691,1290,2419,1710,42785,6386,,,,,,,,,,,,,
20210307,OK,428997,244180,23119,,7852,41839,,,14388,97619,42955,267383,118659,4534,3255,271,,57,399,,,119,433,232,3635,667,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,OR,157285,76447,3791,,4850,2769,1404,2534,36783,28707,40965,78492,37828,2296,1531,46,,58,41,20,47,183,370,211,1475,610,8714,5270,273,,311,220,146,160,1585,749,1765,5410,1539,,,,,,,,,,,,,
20210307,PA,948643,487131,81180,,16176,,,,12096,352060,59427,252700,636516,24349,19497,2829,,379,,,,1,1643,982,23280,87,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,PR,101327,,,,,,,,,101327,,,,2059,,,,,,,,,2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,RI,128121,59389,7780,31023,2342,309,0,1200,2332,23746,31023,73352,23746,2541,1816,104,207,37,1,0,1,1,374,207,1960,374,9020,4280,593,1886,167,20,0,39,203,1832,1886,5302,1832,802636,219702,18349,54284,8702,4717,521,3660,20203,472498,54284,275854,472498
20210307,SC,525865,238659,107296,,5178,,,,57311,117421,29233,307580,189052,8754,4727,2408,,54,,,,389,1176,211,6437,2106,20725,10646,7383,,166,,,,1166,1364,998,16674,3053,,,,,,,,,,,,,
20210307,SD,113589,84776,2519,4145,1468,13518,,,1662,5501,4145,103943,5501,1900,1499,7,23,16,265,,,14,76,23,1801,76,6705,4785,134,170,72,1305,,,71,168,170,6367,168,,,,,,,,,,,,,
20210307,TN,783484,489782,102220,,6937,1032,564,,61751,121198,48832,522046,212606,11547,8730,1994,,67,9,6,,385,356,303,10314,930,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,TX,2686818,25581,12672,27728,933,,,,428,2619476,27728,39614,2619476,44451,18276,4252,20453,898,,,,231,341,20453,23657,341,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,UT,374850,238411,5001,77215,7107,5016,8931,,26238,34321,77215,263314,34321,1976,1329,18,282,59,72,57,,119,119,282,1575,119,14891,9312,246,3268,349,459,765,,1114,360,3268,11263,360,2248121,1508818,29013,282286,42053,23644,32491,,131519,268832,282286,1697003,268832
20210307,VA,585700,235269,99166,76875,19984,756,,5823,15947,131880,76875,376945,131880,9596,6002,2262,640,337,24,,62,66,203,640,8753,203,24661,10858,6760,4376,1087,36,,194,494,856,4376,19429,856,,,,,,,,,,,,,
20210307,VI,2714,,,,,,,,,2714,,,2714,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,VT,16083,12735,613,,746,20,,,414,1555,368,13160,2555,208,185,2,,5,1,,,2,13,0,179,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,WA,344532,96572,10932,62537,12525,3231,3691,5823,3133,146088,62537,135907,146088,5041,3571,161,596,383,107,81,59,71,12,596,4433,12,19599,6056,623,2621,871,236,355,239,220,8378,2621,8600,8378,,,,,,,,,,,,,
20210307,WI,621654,481041,40549,,15553,7580,,,34002,42929,63651,470050,87953,7106,6144,478,,127,97,,,106,154,389,6404,313,26457,18668,3023,2491,563,410,,,312,990,2491,22976,990,,,,,,,,,,,,,
20210307,WV,133445,111202,4623,,,,,,3092,14528,,,133445,2325,2049,57,,,,,,34,185,,,2325,,,,,,,,,,,,,,,,,,,,,,,,,,
20210307,WY,54764,28117,425,4134,281,2250,134,,1726,21292,4134,32933,21292,682,606,2,58,6,51,1,,8,11,58,613,11,,,,,,,,,,,,,,,,,,,,,,,,,,
